doy,airtemp,humidity,rainfall
1,23.974,0.32647000000000004,0.007000000000000001
2,24.0145,0.32539,0.002
3,24.2185,0.318105,0.0
4,24.134999999999998,0.32143,0.0
5,24.366,0.32170000000000004,0.020999999999999998
6,24.526,0.31762999999999997,0.008
7,24.618000000000002,0.338095,0.0215
8,24.7255,0.349635,0.12349999999999998
9,24.597,0.32817999999999997,0.0025
10,24.843,0.30894,0.0005
11,24.673,0.30174,0.002
12,24.5125,0.30394,0.0095
13,24.402,0.29732,0.013000000000000001
14,24.34,0.287,0.0
15,24.9525,0.29071500000000006,0.0005
16,25.2985,0.286655,0.0
17,25.59,0.29706,0.05750000000000001
18,25.624000000000002,0.305895,0.28500000000000003
19,25.666500000000003,0.299925,0.462
20,25.735500000000002,0.29651999999999995,0.10899999999999999
21,25.853500000000004,0.295145,0.083
22,26.021499999999996,0.2927,0.08
23,25.761000000000003,0.269265,0.004
24,25.860500000000002,0.27225,0.0125
25,26.201999999999998,0.278935,0.004
26,26.4005,0.280235,0.014000000000000002
27,26.502499999999998,0.271655,0.037
28,26.485000000000003,0.28566,0.11750000000000001
29,26.788,0.28961000000000003,0.06050000000000001
30,26.955000000000002,0.268005,0.20700000000000002
31,27.003500000000003,0.27886500000000003,0.085
32,27.341500000000003,0.29696500000000003,0.082
33,27.609500000000004,0.29008,0.0915
34,27.823500000000003,0.273965,0.088
35,27.733999999999998,0.26802,0.023
36,27.8145,0.254875,0.0445
37,27.8435,0.24124500000000001,0.020999999999999998
38,27.8145,0.24715,0.030000000000000006
39,27.750999999999998,0.22502000000000003,0.01
40,27.926499999999997,0.240535,0.0125
41,28.053500000000003,0.251755,0.26799999999999996
42,28.2605,0.28570999999999996,0.28650000000000003
43,28.012999999999998,0.281035,0.337
44,27.729000000000003,0.283465,0.221
45,27.918,0.26562,0.1675
46,28.0345,0.274715,0.1585
47,28.356,0.28872000000000003,0.4835
48,28.6175,0.309375,0.14550000000000002
49,29.311,0.30045,0.552
50,29.299500000000002,0.336335,1.1239999999999999
51,29.178500000000003,0.36017000000000005,1.1584999999999999
52,28.916500000000003,0.371555,1.1915
53,29.5055,0.328795,0.183
54,29.448500000000003,0.313625,0.27
55,29.3,0.29680500000000004,0.777
56,29.5935,0.331335,0.44349999999999995
